 [QUOTE_DATE], [UNDERLYING_LAST]
 2011-03-01,1306.4
 2011-03-02,1308.43
 2011-03-03,1330.97
 2011-03-04,1320.93
 2011-03-07,1310.29
 2011-03-08,1322.03
 2011-03-09,1319.95
 2011-03-10,1295.3
 2011-03-11,1304.23
 2011-03-14,1296.42
 2011-03-15,1281.56
 2011-03-16,1256.86
 2011-03-17,1273.36
 2011-03-18,1279.16
 2011-03-21,1298.11
 2011-03-22,1293.63
 2011-03-23,1297.54
 2011-03-24,1309.71
 2011-03-25,1313.92
 2011-03-28,1310.3
 2011-03-29,1319.24
 2011-03-30,1328.26
 2011-03-31,1326.04
