, [QUOTE_DATE], [UNDERLYING_LAST], [EXPIRE_DATE], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
0, 2011-05-02,1361.07, 2011-05-06,4.0,1.0,0.0,0.0,0.0,234.7,236.5,1125.0,0.0,0.05,-0.00072,6e-05,0.00572,-0.01973,236.1,0.173
1, 2011-05-02,1361.07, 2011-05-06,4.0,1.0,0.0,0.0,0.0,209.7,211.5,1150.0,0.0,0.05,-0.00122,7e-05,0.00584,-0.01921,211.1,0.155
2, 2011-05-02,1361.07, 2011-05-06,4.0,1.0,0.0,0.0,0.0,184.71,186.8,1175.0,0.0,0.1,-0.00187,9e-05,0.01194,-0.03592,186.1,0.137
3, 2011-05-02,1361.07, 2011-05-06,4.0,1.0,0.0,0.0,0.0,159.79,161.29,1200.0,0.05,0.11,-0.00401,0.00017,0.01769,-0.05189,161.1,0.118
4, 2011-05-02,1361.07, 2011-05-06,4.0,1.0,0.0,0.0,0.0,134.79,136.4,1225.0,0.06,0.15,-0.00508,0.00033,0.02542,-0.06599,136.1,0.1
5, 2011-05-02,1361.07, 2011-05-06,4.0,1.0,0.0,0.0,0.0,109.79,111.4,1250.0,0.19,0.24,-0.01247,0.00062,0.05086,-0.13338,111.1,0.082
6, 2011-05-02,1361.07, 2011-05-06,4.0,1.0,0.0,0.0,0.0,104.79,106.5,1255.0,0.2,0.29,-0.01431,0.00069,0.05646,-0.14505,106.1,0.078
7, 2011-05-02,1361.07, 2011-05-06,4.0,1.0,0.0,0.0,0.0,99.8,101.49,1260.0,0.15,0.25,-0.01208,0.00064,0.05095,-0.11888,101.1,0.074
8, 2011-05-02,1361.07, 2011-05-06,4.0,1.0,0.0,0.0,0.0,94.8,96.5,1265.0,0.15,0.26,-0.01257,0.00073,0.05237,-0.11863,96.1,0.071
9, 2011-05-02,1361.07, 2011-05-06,4.0,1.0,0.0,0.0,0.0,89.8,91.49,1270.0,0.24,0.29,-0.0166,0.00096,0.06688,-0.1555,91.1,0.067
10, 2011-05-02,1361.07, 2011-05-06,4.0,1.0,0.0,0.0,0.0,84.8,86.5,1275.0,0.26,0.35,-0.01874,0.00104,0.0737,-0.1655,86.1,0.063
11, 2011-05-02,1361.07, 2011-05-06,4.0,1.0,0.0,0.0,0.0,79.8,81.5,1280.0,0.25,0.4,-0.02119,0.0012,0.0808,-0.17639,81.1,0.06
12, 2011-05-02,1361.07, 2011-05-06,4.0,1.0,0.0,0.0,0.0,74.9,76.61,1285.0,0.25,0.45,-0.0231,0.0014,0.08793,-0.18613,76.1,0.056
13, 2011-05-02,1361.07, 2011-05-06,4.0,1.0,0.0,0.0,0.0,69.9,71.6,1290.0,0.36,0.45,-0.02762,0.0016,0.10034,-0.20634,71.1,0.052
14, 2011-05-02,1361.07, 2011-05-06,4.0,1.0,0.0,0.0,0.0,64.89,66.6,1295.0,0.39,0.5,-0.03119,0.00194,0.1129,-0.22546,66.1,0.049
15, 2011-05-02,1361.07, 2011-05-06,4.0,1.0,0.0,0.0,0.0,59.91,61.7,1300.0,0.46,0.5,-0.0343,0.00226,0.12144,-0.23311,61.1,0.045
16, 2011-05-02,1361.07, 2011-05-06,4.0,1.0,0.0,0.0,0.0,55.01,56.69,1305.0,0.36,0.55,-0.03579,0.00247,0.12403,-0.21982,56.1,0.041
17, 2011-05-02,1361.07, 2011-05-06,4.0,1.0,0.0,0.0,0.0,50.1,51.81,1310.0,0.46,0.65,-0.04339,0.00308,0.14783,-0.25503,51.1,0.038
18, 2011-05-02,1361.07, 2011-05-06,4.0,1.0,0.0,0.0,0.0,45.2,46.9,1315.0,0.5,0.75,-0.05163,0.0037,0.16754,-0.27746,46.1,0.034
19, 2011-05-02,1361.07, 2011-05-06,4.0,0.96071,0.00225,0.12334,-0.07969,40.3,42.01,1320.0,0.6,0.85,-0.06183,0.00447,0.19326,-0.30605,41.1,0.03
20, 2011-05-02,1361.07, 2011-05-06,4.0,0.95058,0.00408,0.15669,-0.17886,35.4,37.2,1325.0,0.91,1.0,-0.07961,0.00577,0.23673,-0.36859,36.1,0.026
21, 2011-05-02,1361.07, 2011-05-06,4.0,0.9245,0.00646,0.22302,-0.25586,30.69,32.49,1330.0,0.95,1.25,-0.09628,0.00714,0.2721,-0.39907,31.1,0.023
