, [QUOTE_DATE], [EXPIRE_DATE], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
0, 2010-12-01, 2010-12-02,1.0,0.9386,0.0002,0.08901,-0.32031,229.61,232.5,975.0,0.0,0.04,-0.00147,6e-05,0.00292,-0.02509,230.7,0.191
1, 2010-12-01, 2010-12-02,1.0,1.0,0.0,0.0,0.0,203.8,206.7,1000.0,0.0,0.06,-0.00076,1e-05,0.00321,-0.02454,205.7,0.171
2, 2010-12-01, 2010-12-02,1.0,0.94517,0.00029,0.08387,-0.31998,179.59,182.5,1025.0,0.0,0.05,-0.00179,7e-05,0.0036,-0.02483,180.7,0.15
3, 2010-12-01, 2010-12-02,1.0,0.94801,0.00044,0.08163,-0.32002,154.61,157.5,1050.0,0.0,0.06,-0.00132,8e-05,0.00412,-0.02458,155.7,0.129
4, 2010-12-01, 2010-12-02,1.0,0.95138,0.00063,0.07915,-0.31994,129.61,132.5,1075.0,0.0,0.05,-0.00181,0.00012,0.00562,-0.02475,130.7,0.108
5, 2010-12-01, 2010-12-02,1.0,0.96073,0.00063,0.06503,-0.01971,104.3,107.21,1100.0,0.05,0.15,-0.00676,0.00044,0.01663,-0.09797,105.7,0.088
6, 2010-12-01, 2010-12-02,1.0,1.0,0.0,0.0,0.0,78.9,81.8,1125.0,0.1,0.14,-0.01065,0.00077,0.02406,-0.12165,80.7,0.067
7, 2010-12-01, 2010-12-02,1.0,0.95225,0.00327,0.08315,-0.31958,54.1,58.0,1150.0,0.25,0.3,-0.02505,0.00205,0.05267,-0.25855,55.7,0.046
8, 2010-12-01, 2010-12-02,1.0,0.88332,0.0086,0.17188,-0.87974,29.8,33.7,1175.0,0.49,0.75,-0.06917,0.00654,0.1183,-0.53898,30.7,0.025
9, 2010-12-01, 2010-12-02,1.0,0.77899,0.01601,0.26173,-1.24308,16.29,19.0,1190.0,1.54,2.4,-0.19883,0.01586,0.24944,-1.31444,15.7,0.013
10, 2010-12-01, 2010-12-02,1.0,0.61084,0.02203,0.34025,-1.69444,8.89,10.81,1200.0,3.71,4.6,-0.37984,0.02442,0.33971,-1.8804,5.7,0.005
11, 2010-12-01, 2010-12-02,1.0,0.37427,0.02388,0.33702,-1.56792,3.41,4.8,1210.0,7.3,9.11,-0.65977,0.02878,0.3259,-1.69886,4.3,0.004
12, 2010-12-01, 2010-12-02,1.0,0.24991,0.02118,0.2831,-1.18186,1.79,2.65,1215.0,10.5,12.3,-0.82196,0.0234,0.23133,-1.19203,9.3,0.008
13, 2010-12-01, 2010-12-02,1.0,0.08528,0.01062,0.14079,-0.45658,0.45,0.7,1225.0,19.11,20.3,-1.0,0.0,-202.69998,0.0,19.3,0.016
14, 2010-12-01, 2010-12-02,1.0,0.01666,0.00199,0.03734,-0.11913,0.11,0.15,1250.0,43.41,45.11,-1.0,0.0,0.0,0.0,44.3,0.037
15, 2010-12-01, 2010-12-02,1.0,0.00779,0.00081,0.01931,-0.07282,0.05,0.09,1275.0,67.81,70.71,-1.0,0.0,0.0,0.0,69.3,0.057
16, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,1103.8,1106.1,100.0,0.0,0.05,-2e-05,0.0,0.00072,-0.00904,1105.7,0.917
17, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,1003.8,1006.2,200.0,0.0,0.05,0.0,0.0,0.00107,-0.00957,1005.7,0.834
18, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,953.81,956.2,250.0,0.0,0.05,-0.00019,0.0,0.0012,-0.00902,955.7,0.793
19, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,903.8,906.19,300.0,0.0,0.06,0.0,0.0,0.00215,-0.00948,905.7,0.751
20, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,878.79,881.2,325.0,0.0,0.05,-0.00058,0.0,0.00165,-0.00944,880.7,0.73
21, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,853.8,856.2,350.0,0.0,0.05,-0.00025,0.0,0.002,-0.00937,855.7,0.71
22, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,803.8,806.2,400.0,0.0,0.05,-0.00071,0.0,0.00249,-0.00892,805.7,0.668
23, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,778.8,781.2,425.0,0.0,0.05,-0.00057,0.0,0.00248,-0.00973,780.7,0.648
24, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,753.8,756.2,450.0,0.0,0.04,-0.00035,0.0,0.00275,-0.00957,755.7,0.627
25, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,728.79,731.21,475.0,0.0,0.06,-0.00035,0.0,0.0022,-0.00961,730.7,0.606
26, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,703.9,706.21,500.0,0.0,0.05,-0.0002,0.0,0.00269,-0.00906,705.7,0.585
27, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,678.9,681.2,525.0,0.0,0.05,-0.00033,0.0,0.00275,-0.00919,680.7,0.565
28, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,653.9,656.21,550.0,0.0,0.05,-0.00073,0.0,0.00314,-0.00956,655.7,0.544
29, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,628.89,631.2,575.0,0.0,0.04,-0.00046,0.0,0.00295,-0.0091,630.7,0.523
30, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,603.9,606.19,600.0,0.0,0.05,-0.00013,2e-05,0.00318,-0.00935,605.7,0.502
31, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,583.9,586.2,620.0,0.0,0.05,-4e-05,3e-05,0.00351,-0.00943,585.7,0.486
32, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,578.9,581.21,625.0,0.0,0.04,-0.00018,-3e-05,0.00353,-0.0091,580.7,0.482
33, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,563.89,566.2,640.0,0.0,0.05,-0.00067,5e-05,0.00395,-0.00929,565.7,0.469
34, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,553.9,556.2,650.0,0.0,0.05,0.0,6e-05,0.0037,-0.00886,555.7,0.461
35, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,543.9,546.2,660.0,0.0,0.05,-0.00033,4e-05,0.00359,-0.00889,545.7,0.453
36, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,528.89,531.19,675.0,0.0,0.06,0.0,-3e-05,0.00345,-0.00846,530.7,0.44
37, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,523.89,526.2,680.0,0.0,0.05,-0.00079,-3e-05,0.00371,-0.00862,525.7,0.436
38, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,503.9,506.2,700.0,0.0,0.04,-0.00044,-2e-05,0.00434,-0.00898,505.7,0.419
39, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,498.9,501.21,705.0,0.0,0.05,-0.00031,-1e-05,0.00404,-0.00898,500.7,0.415
40, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,493.89,496.2,710.0,0.0,0.05,-0.00063,-2e-05,0.00394,-0.00936,495.7,0.411
41, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,488.9,491.2,715.0,0.0,0.05,-0.00041,-4e-05,0.00442,-0.00912,490.7,0.407
42, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,483.91,486.2,720.0,0.0,0.05,-0.00046,6e-05,0.00393,-0.00886,485.7,0.403
43, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,478.9,481.2,725.0,0.0,0.04,-0.00013,2e-05,0.00463,-0.00929,480.7,0.399
44, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,473.9,476.2,730.0,0.0,0.05,-0.00053,4e-05,0.0046,-0.009,475.7,0.395
45, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,463.9,466.19,740.0,0.0,0.05,-0.00032,-1e-05,0.0042,-0.00854,465.7,0.386
46, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,453.9,456.2,750.0,0.0,0.05,-0.00065,4e-05,0.00453,-0.00931,455.7,0.378
47, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,443.9,446.2,760.0,0.0,0.05,-0.00036,0.0,0.00476,-0.00873,445.7,0.37
48, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,433.9,436.2,770.0,0.0,0.05,-8e-05,6e-05,0.00494,-0.00905,435.7,0.361
49, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,428.9,431.21,775.0,0.0,0.04,-0.00069,0.0,0.00515,-0.0084,430.7,0.357
50, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,423.9,426.21,780.0,0.0,0.05,-0.00033,2e-05,0.00549,-0.00834,425.7,0.353
51, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,413.91,416.2,790.0,0.0,0.05,-0.00059,-1e-05,0.00473,-0.00833,415.7,0.345
52, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,403.9,406.2,800.0,0.0,0.05,-0.00046,-2e-05,0.00541,-0.00897,405.7,0.337
53, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,393.9,396.3,810.0,0.0,0.05,-0.00052,5e-05,0.00573,-0.00868,395.7,0.328
54, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,383.89,386.3,820.0,0.0,0.05,-0.00023,-1e-05,0.00526,-0.00889,385.7,0.32
55, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,378.91,381.3,825.0,0.0,0.05,-0.00076,3e-05,0.00523,-0.00878,380.7,0.316
56, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,373.9,376.3,830.0,0.0,0.05,-0.00107,5e-05,0.00572,-0.00908,375.7,0.312
57, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,363.9,366.3,840.0,0.0,0.05,-0.00101,-3e-05,0.00591,-0.00893,365.7,0.303
58, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,353.9,356.31,850.0,0.0,0.06,-0.00052,0.0,0.0064,-0.00876,355.7,0.295
59, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,343.91,346.3,860.0,0.0,0.11,-0.00122,4e-05,0.01078,-0.01574,345.7,0.287
60, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,333.91,336.31,870.0,0.0,0.06,-0.00047,2e-05,0.00667,-0.0088,335.7,0.278
61, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,328.9,331.3,875.0,0.0,0.1,-0.00086,3e-05,0.01096,-0.01602,330.7,0.274
62, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,323.9,326.3,880.0,0.0,0.1,-0.00122,3e-05,0.01068,-0.01538,325.7,0.27
63, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,318.9,321.3,885.0,0.0,0.11,-0.00106,5e-05,0.01147,-0.01579,320.7,0.266
64, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,313.9,316.31,890.0,0.05,0.1,-0.00207,9e-05,0.01583,-0.02232,315.7,0.262
65, 2010-12-01, 2010-12-16,15.0,1.0,0.0,0.0,0.0,308.9,311.29,895.0,0.05,0.11,-0.00202,1e-05,0.01574,-0.02206,310.7,0.258
