, [QUOTE_DATE], [EXPIRE_DATE], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
0, 2010-09-01, 2010-09-03,2.0,1.0,0.0,0.0,0.0,10.38,10.53,98.0,0.0,0.01,-0.00343,0.00276,0.00087,-0.0046,10.5,0.097
1, 2010-09-01, 2010-09-03,2.0,1.0,0.0,0.0,0.0,9.38,9.56,99.0,0.0,0.02,-0.00691,0.005,0.00176,-0.00898,9.5,0.087
2, 2010-09-01, 2010-09-03,2.0,1.0,0.0,0.0,0.0,8.32,8.56,100.0,0.0,0.02,-0.00867,0.0061,0.00268,-0.00859,8.5,0.078
3, 2010-09-01, 2010-09-03,2.0,1.0,0.0,0.0,0.0,7.32,7.55,101.0,0.01,0.02,-0.01223,0.0093,0.00343,-0.01237,7.5,0.069
4, 2010-09-01, 2010-09-03,2.0,1.0,0.0,0.0,0.0,6.37,6.54,102.0,0.01,0.02,-0.01995,0.01497,0.00472,-0.01953,6.5,0.06
5, 2010-09-01, 2010-09-03,2.0,0.9841,0.01504,0.00419,-0.01155,5.42,5.55,103.0,0.03,0.04,-0.02935,0.0226,0.00671,-0.02591,5.5,0.05
6, 2010-09-01, 2010-09-03,2.0,0.94625,0.03802,0.01027,-0.043,4.5,4.55,104.0,0.05,0.06,-0.04737,0.03596,0.00975,-0.03782,4.5,0.041
7, 2010-09-01, 2010-09-03,2.0,0.92113,0.05836,0.01393,-0.05482,3.55,3.58,105.0,0.09,0.09,-0.07553,0.05762,0.01444,-0.05234,3.5,0.032
8, 2010-09-01, 2010-09-03,2.0,0.85088,0.09569,0.02331,-0.09232,2.63,2.68,106.0,0.17,0.18,-0.1475,0.09555,0.02253,-0.09094,2.5,0.023
9, 2010-09-01, 2010-09-03,2.0,0.7405,0.13877,0.03233,-0.13321,1.84,1.84,107.0,0.37,0.38,-0.26116,0.13823,0.03196,-0.13369,1.5,0.014
10, 2010-09-01, 2010-09-03,2.0,0.58956,0.178,0.0384,-0.15494,1.12,1.13,108.0,0.66,0.67,-0.41131,0.17585,0.03821,-0.15712,0.5,0.004
11, 2010-09-01, 2010-09-03,2.0,0.40338,0.18583,0.03807,-0.14684,0.6,0.59,109.0,1.12,1.13,-0.59669,0.18658,0.03762,-0.14638,0.5,0.005
12, 2010-09-01, 2010-09-03,2.0,0.21633,0.15306,0.02911,-0.09672,0.23,0.24,110.0,1.76,1.8,-0.77867,0.15063,0.02949,-0.09989,1.5,0.014
13, 2010-09-01, 2010-09-03,2.0,0.10297,0.09122,0.01792,-0.05441,0.09,0.1,111.0,2.59,2.64,-0.89787,0.08331,0.01726,-0.05336,2.5,0.023
14, 2010-09-01, 2010-09-03,2.0,0.05139,0.04965,0.01033,-0.03046,0.03,0.05,112.0,3.55,3.59,-0.93788,0.03449,0.01209,-0.03481,3.5,0.033
15, 2010-09-01, 2010-09-03,2.0,0.0287,0.02814,0.00598,-0.01887,0.02,0.02,113.0,4.51,4.58,-0.94727,0.0117,0.00963,-0.01523,4.5,0.042
16, 2010-09-01, 2010-09-03,2.0,0.01178,0.01299,0.00325,-0.00832,0.0,0.02,114.0,5.46,5.7,-0.93691,0.02069,0.01133,-0.0503,5.5,0.051
17, 2010-09-01, 2010-09-03,2.0,0.01033,0.01015,0.00223,-0.00812,0.0,0.03,115.0,6.47,6.69,-0.93776,0.01566,0.01135,-0.05062,6.5,0.06
18, 2010-09-01, 2010-09-17,16.0,1.0,0.0,0.0,0.0,63.4,63.53,45.0,0.0,0.01,-0.0008,0.00016,0.00124,-0.00343,63.5,0.585
19, 2010-09-01, 2010-09-17,16.0,1.0,0.0,0.0,0.0,62.41,62.53,46.0,0.0,0.03,-0.00073,0.0001,0.00095,-0.00252,62.5,0.576
20, 2010-09-01, 2010-09-17,16.0,1.0,0.0,0.0,0.0,61.41,61.52,47.0,0.0,0.03,-0.00182,0.00016,0.00095,-0.00416,61.5,0.567
21, 2010-09-01, 2010-09-17,16.0,1.0,0.0,0.0,0.0,60.41,60.52,48.0,0.0,0.03,-0.002,0.00019,0.00073,-0.00389,60.5,0.557
22, 2010-09-01, 2010-09-17,16.0,1.0,0.0,0.0,0.0,59.41,59.52,49.0,0.0,0.03,-0.00204,0.00019,0.00168,-0.00455,59.5,0.548
23, 2010-09-01, 2010-09-17,16.0,1.0,0.0,0.0,0.0,58.42,58.52,50.0,0.0,0.04,-0.00184,0.00015,0.00081,-0.00457,58.5,0.539
24, 2010-09-01, 2010-09-17,16.0,1.0,0.0,0.0,0.0,57.41,57.52,51.0,0.0,0.03,-0.00168,0.0002,0.00151,-0.00374,57.5,0.53
25, 2010-09-01, 2010-09-17,16.0,1.0,0.0,0.0,0.0,56.42,56.51,52.0,0.0,0.03,-0.00207,0.00017,0.00167,-0.00437,56.5,0.521
26, 2010-09-01, 2010-09-17,16.0,1.0,0.0,0.0,0.0,55.41,55.53,53.0,0.0,0.03,-0.00175,0.00019,0.00166,-0.00423,55.5,0.511
27, 2010-09-01, 2010-09-17,16.0,1.0,0.0,0.0,0.0,54.42,54.52,54.0,0.0,0.03,-0.0015,0.00025,0.00104,-0.00402,54.5,0.502
