, [QUOTE_DATE], [UNDERLYING_LAST], [EXPIRE_DATE], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
0, 2011-08-01,128.78, 2011-08-05,4.0,1.0,0.0,0.0,0.0,5.44,5.63,123.0,0.39,0.42,-0.14448,0.04239,0.03393,-0.12927,5.8,0.045
1, 2011-08-01,128.78, 2011-08-05,4.0,1.0,0.0,0.0,0.0,4.62,4.75,124.0,0.53,0.54,-0.18551,0.05165,0.04015,-0.15054,4.8,0.037
2, 2011-08-01,128.78, 2011-08-05,4.0,0.86833,0.08418,0.03046,-0.04642,3.88,3.91,125.0,0.71,0.72,-0.23749,0.06147,0.04603,-0.17461,3.8,0.029
3, 2011-08-01,128.78, 2011-08-05,4.0,0.76192,0.09331,0.04566,-0.08699,3.11,3.14,126.0,0.94,0.94,-0.29991,0.07122,0.05201,-0.19556,2.8,0.022
4, 2011-08-01,128.78, 2011-08-05,4.0,0.66245,0.10106,0.05431,-0.11351,2.43,2.44,127.0,1.24,1.25,-0.3724,0.07986,0.05673,-0.21328,1.8,0.014
5, 2011-08-01,128.78, 2011-08-05,4.0,0.55865,0.10619,0.05871,-0.12853,1.8,1.81,128.0,1.62,1.63,-0.45494,0.08576,0.05926,-0.224,0.8,0.006
6, 2011-08-01,128.78, 2011-08-05,4.0,0.45163,0.10665,0.05914,-0.13103,1.26,1.28,129.0,2.07,2.09,-0.54248,0.08839,0.05932,-0.22499,0.2,0.002
7, 2011-08-01,128.78, 2011-08-05,4.0,0.34462,0.10077,0.05513,-0.1214,0.84,0.85,130.0,2.63,2.66,-0.63155,0.08571,0.05635,-0.21736,1.2,0.009
8, 2011-08-01,128.78, 2011-08-05,4.0,0.24342,0.08842,0.0473,-0.09949,0.5,0.51,131.0,3.31,3.34,-0.71387,0.07787,0.05081,-0.20383,2.2,0.017
9, 2011-08-01,128.78, 2011-08-05,4.0,0.15807,0.06981,0.03651,-0.07465,0.29,0.29,132.0,4.08,4.12,-0.78323,0.06652,0.04341,-0.18718,3.2,0.025
10, 2011-08-01,128.78, 2011-08-05,4.0,0.09292,0.04951,0.02538,-0.04891,0.13,0.16,133.0,4.95,4.97,-0.83229,0.05448,0.03762,-0.17294,4.2,0.033
11, 2011-08-01,128.78, 2011-08-05,4.0,0.05325,0.03227,0.0169,-0.03025,0.07,0.08,134.0,5.87,5.91,-0.86597,0.04418,0.03251,-0.16342,5.2,0.041
12, 2011-08-01,128.78, 2011-08-05,4.0,0.02787,0.01914,0.00979,-0.01695,0.04,0.04,135.0,6.84,6.86,-0.88684,0.03643,0.02789,-0.15823,6.2,0.048
13, 2011-08-01,128.78, 2011-08-05,4.0,0.02,0.0134,0.00769,-0.01309,0.02,0.04,136.0,7.79,8.0,-0.88449,0.03197,0.02833,-0.17477,7.2,0.056
14, 2011-08-01,128.78, 2011-08-05,4.0,0.01134,0.0084,0.00424,-0.00812,0.01,0.03,137.0,8.77,8.99,-0.89563,0.0277,0.02658,-0.17483,8.2,0.064
15, 2011-08-01,128.78, 2011-08-05,4.0,0.0044,0.00376,0.00199,-0.00285,0.0,0.01,138.0,9.77,9.97,-0.90188,0.02444,0.02535,-0.17796,9.2,0.072
16, 2011-08-01,128.78, 2011-08-05,4.0,0.00376,0.00326,0.00154,-0.00355,0.0,0.02,139.0,10.76,10.98,-0.90793,0.02172,0.0242,-0.1802,10.2,0.079
17, 2011-08-01,128.78, 2011-08-05,4.0,0.00402,0.00281,0.00219,-0.0034,0.0,0.01,140.0,11.75,11.99,-0.9125,0.01963,0.02329,-0.18183,11.2,0.087
18, 2011-08-01,128.78, 2011-08-05,4.0,0.00391,0.00244,0.00216,-0.00345,0.0,0.0,141.0,12.68,13.0,-0.92387,0.01712,0.02061,-0.17223,12.2,0.095
19, 2011-08-01,128.78, 2011-08-05,4.0,0.00364,0.00218,0.00184,-0.00312,0.0,0.01,142.0,13.68,13.99,-0.92706,0.01567,0.02016,-0.17492,13.2,0.103
20, 2011-08-01,128.78, 2011-08-19,18.0,1.0,0.0,0.0,0.0,48.01,48.36,80.0,0.0,0.0,-0.00084,0.0002,0.0004,-0.00131,48.8,0.379
21, 2011-08-01,128.78, 2011-08-19,18.0,1.0,0.0,0.0,0.0,47.01,47.37,81.0,0.0,0.01,-0.00041,0.00018,0.0012,-0.00155,47.8,0.371
22, 2011-08-01,128.78, 2011-08-19,18.0,1.0,0.0,0.0,0.0,46.01,46.36,82.0,0.0,0.01,-0.00076,0.00011,0.00092,-0.00119,46.8,0.363
23, 2011-08-01,128.78, 2011-08-19,18.0,1.0,0.0,0.0,0.0,45.02,45.38,83.0,0.0,0.01,-0.00072,0.00019,0.00054,-0.00093,45.8,0.355
24, 2011-08-01,128.78, 2011-08-19,18.0,1.0,0.0,0.0,0.0,44.02,44.38,84.0,0.0,0.01,-0.00083,0.0002,0.00059,-0.00123,44.8,0.348
25, 2011-08-01,128.78, 2011-08-19,18.0,1.0,0.0,0.0,0.0,43.02,43.37,85.0,0.0,0.01,-0.0014,0.00015,0.00069,-0.00126,43.8,0.34
26, 2011-08-01,128.78, 2011-08-19,18.0,1.0,0.0,0.0,0.0,42.02,42.38,86.0,0.0,0.0,-0.00141,0.00023,0.00075,-0.00158,42.8,0.332
27, 2011-08-01,128.78, 2011-08-19,18.0,1.0,0.0,0.0,0.0,41.03,41.36,87.0,0.01,0.02,-0.00286,0.00046,0.00281,-0.00348,41.8,0.324
28, 2011-08-01,128.78, 2011-08-19,18.0,1.0,0.0,0.0,0.0,40.02,40.36,88.0,0.0,0.01,-0.00112,0.00021,0.00086,-0.00121,40.8,0.317
29, 2011-08-01,128.78, 2011-08-19,18.0,1.0,0.0,0.0,0.0,39.02,39.35,89.0,0.0,0.01,-0.00109,0.00025,0.0009,-0.00167,39.8,0.309
30, 2011-08-01,128.78, 2011-08-19,18.0,1.0,0.0,0.0,0.0,38.01,38.36,90.0,0.0,0.02,-0.00068,0.00028,0.00093,-0.00114,38.8,0.301
